Date,RFR
1/1/2010,0.061
1/4/2010,0.06
1/5/2010,0.066
1/6/2010,0.054
1/7/2010,0.049
1/8/2010,0.045
1/11/2010,0.025
1/12/2010,0.044
1/13/2010,0.054
1/14/2010,0.056
1/15/2010,0.057
1/18/2010,0.059
1/19/2010,0.049
1/20/2010,0.051
1/21/2010,0.044
1/22/2010,0.049
1/25/2010,0.049
1/26/2010,0.066
1/27/2010,0.074
1/28/2010,0.074
1/29/2010,0.074
2/1/2010,0.089
2/2/2010,0.092
2/3/2010,0.092
2/4/2010,0.089
2/5/2010,0.09
2/8/2010,0.094
2/9/2010,0.106
2/10/2010,0.104
2/11/2010,0.098
2/12/2010,0.092
2/15/2010,0.092
2/16/2010,0.091
2/17/2010,0.092
2/18/2010,0.112
2/19/2010,0.099
2/22/2010,0.089
2/23/2010,0.115
2/24/2010,0.115
2/25/2010,0.12
2/26/2010,0.12
3/1/2010,0.128
3/2/2010,0.13
3/3/2010,0.14
3/4/2010,0.14
3/5/2010,0.148
3/8/2010,0.15
3/9/2010,0.155
3/10/2010,0.15
3/11/2010,0.15
3/12/2010,0.147
3/15/2010,0.15
3/16/2010,0.165
3/17/2010,0.152
3/18/2010,0.15
3/19/2010,0.149
3/22/2010,0.142
3/23/2010,0.135
3/24/2010,0.138
3/25/2010,0.135
3/26/2010,0.14
3/29/2010,0.131
3/30/2010,0.155
3/31/2010,0.155
4/1/2010,0.157
4/2/2010,0.162
4/5/2010,0.165
4/6/2010,0.168
4/7/2010,0.165
4/8/2010,0.16
4/9/2010,0.152
4/12/2010,0.14
4/13/2010,0.155
4/14/2010,0.155
4/15/2010,0.155
4/16/2010,0.156
4/19/2010,0.151
4/20/2010,0.151
4/21/2010,0.15
4/22/2010,0.155
4/23/2010,0.155
4/26/2010,0.155
4/27/2010,0.15
4/28/2010,0.157
4/29/2010,0.157
4/30/2010,0.159
5/3/2010,0.165
5/4/2010,0.166
5/5/2010,0.151
5/6/2010,0.11
5/7/2010,0.125
5/10/2010,0.15
5/11/2010,0.157
5/12/2010,0.155
5/13/2010,0.16
5/14/2010,0.15
5/17/2010,0.156
5/18/2010,0.17
5/19/2010,0.167
5/20/2010,0.16
5/21/2010,0.157
5/24/2010,0.15
5/25/2010,0.163
5/26/2010,0.165
5/27/2010,0.165
5/28/2010,0.16
5/31/2010,0.157
6/1/2010,0.151
6/2/2010,0.15
6/3/2010,0.14
6/4/2010,0.126
6/7/2010,0.112
6/8/2010,0.117
6/9/2010,0.095
6/10/2010,0.085
6/11/2010,0.074
6/14/2010,0.056
6/15/2010,0.081
6/16/2010,0.094
6/17/2010,0.092
6/18/2010,0.099
6/21/2010,0.113
6/22/2010,0.123
6/23/2010,0.125
6/24/2010,0.126
6/25/2010,0.132
6/28/2010,0.14
6/29/2010,0.147
6/30/2010,0.175
7/1/2010,0.17
7/2/2010,0.165
7/5/2010,0.165
7/6/2010,0.165
7/7/2010,0.157
7/8/2010,0.15
7/9/2010,0.15
7/12/2010,0.142
7/13/2010,0.152
7/14/2010,0.15
7/15/2010,0.152
7/16/2010,0.15
7/19/2010,0.152
7/20/2010,0.155
7/21/2010,0.155
7/22/2010,0.15
7/23/2010,0.15
7/26/2010,0.157
7/27/2010,0.152
7/28/2010,0.151
7/29/2010,0.15
7/30/2010,0.145
8/2/2010,0.145
8/3/2010,0.146
8/4/2010,0.15
8/5/2010,0.145
8/6/2010,0.142
8/9/2010,0.142
8/10/2010,0.15
8/11/2010,0.15
8/12/2010,0.152
8/13/2010,0.152
8/16/2010,0.155
8/17/2010,0.158
8/18/2010,0.155
8/19/2010,0.15
8/20/2010,0.15
8/23/2010,0.155
8/24/2010,0.155
8/25/2010,0.155
8/26/2010,0.15
8/27/2010,0.143
8/30/2010,0.135
8/31/2010,0.137
9/1/2010,0.135
9/2/2010,0.133
9/3/2010,0.13
9/6/2010,0.13
9/7/2010,0.13
9/8/2010,0.135
9/9/2010,0.14
9/10/2010,0.137
9/13/2010,0.142
9/14/2010,0.145
9/15/2010,0.151
9/16/2010,0.155
9/17/2010,0.152
9/20/2010,0.155
9/21/2010,0.16
9/22/2010,0.157
9/23/2010,0.155
9/24/2010,0.145
9/27/2010,0.135
9/28/2010,0.152
9/29/2010,0.16
9/30/2010,0.158
10/1/2010,0.155
10/4/2010,0.152
10/5/2010,0.118
10/6/2010,0.12
10/7/2010,0.12
10/8/2010,0.12
10/11/2010,0.12
10/12/2010,0.12
10/13/2010,0.132
10/14/2010,0.14
10/15/2010,0.14
10/18/2010,0.14
10/19/2010,0.14
10/20/2010,0.137
10/21/2010,0.127
10/22/2010,0.125
10/25/2010,0.12
10/26/2010,0.132
10/27/2010,0.135
10/28/2010,0.128
10/29/2010,0.116
11/1/2010,0.106
11/2/2010,0.123
11/3/2010,0.123
11/4/2010,0.12
11/5/2010,0.12
11/8/2010,0.116
11/9/2010,0.125
11/10/2010,0.132
11/11/2010,0.13
11/12/2010,0.13
11/15/2010,0.132
11/16/2010,0.138
11/17/2010,0.137
11/18/2010,0.138
11/19/2010,0.135
