Ticker,Name
CGL,iShares Gold Bullion ETF (CAD-Hedged)
SVR,iShares Silver Bullion ETF (CAD-Hedged)
XUU,iShares Core S&P U.S. Total Market Index ETF
XGD,iShares S&P/TSX Global Gold Index ETF
COW,iShares Global Agriculture Index ETF
CWW,iShares Global Water Index ETF
CGR,iShares Global Real Estate Index ETF
XPF,iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)
XDG,iShares Core MSCI Global Quality Dividend Index ETF
XBM,iShares S&P/TSX Global Base Metals Index ETF
XDGH,iShares Core MSCI Global Quality Dividend Index ETF (CAD-Hedged)
CBO,iShares 1-5 Year Laddered Corporate Bond Index ETF
CLF,iShares 1-5 Year Laddered Government Bond Index ETF
XGGB,iShares Global Government Bond Index ETF (CAD-Hedged)
CLG,iShares 1-10 Year Laddered Government Bond Index ETF
XHY,iShares U.S. High Yield Bond Index ETF (CAD-Hedged)
CBH,iShares 1-10 Year Laddered Corporate Bond Index ETF
XSE,iShares Conservative Strategic Fixed Income ETF
XFR,iShares Floating Rate Index ETF
CMR,iShares Premium Money Market ETF
XIG,iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)
XSC,iShares Conservative Short Term Strategic Fixed Income ETF
CHB,iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)
CVD,iShares Convertible Bond Index ETF
CSD,iShares Short Duration High Income ETF (CAD-Hedged)
HBGD,Horizons Big Data & Hardware Index ETFÊ
HBGD.U,Horizons Big Data & Hardware Index ETFÊ
HSAV,Horizons Cash Maximizer ETF
HXH,Horizons Cdn High Dividend Index ETF
HBB,Horizons CDN Select Universe Bond ETF
HUC,Horizons Crude Oil ETF
HXEM,Horizons Emerging Markets Equity Index ETF
HEWB,Horizons Equal Weight Canada Banks Index ETF
HCRE,Horizons Equal Weight Canada REIT Index ETF
HXX,Horizons Europe 50 Index ETF
BBIG,Horizons Global BBIG Technology ETF
BBIG.U,Horizons Global BBIG Technology ETF
HYDR,Horizons Global Hydrogen Index ETF
HLIT,Horizons Global Lithium Producers Index ETF
CHPS,Horizons Global Semiconductor Index ETF
CHPS.U,Horizons Global Semiconductor Index ETF
ETHI,Horizons Global Sustainability Leaders Index ETF
HURA,Horizons Global Uranium Index ETF
HUG,Horizons Gold ETF
FOUR,Horizons Industry 4.0 Index ETF
INOC,Horizons Inovestor Canadian Equity Index ETF
HXDM,Horizons Intl Developed Markets Equity Index ETF
HXDM.U,Horizons Intl Developed Markets Equity Index ETF
HLPR,Horizons Laddered Canadian Preferred Share Index ETF
HMMJ,Horizons Marijuana Life Sciences Index ETF
HMMJ.U,Horizons Marijuana Life Sciences Index ETF
HHF,Horizons Morningstar Hedge Fund Index ETF
HXQ,Horizons NASDAQ-100¨ÊIndex ETF
HXQ.U,Horizons NASDAQ-100¨ÊIndex ETF
HUN,Horizons Natural Gas ETF
HOG,Horizons Pipelines & Energy Services Index ETFÊ
PSYK,Horizons Psychedelic Stock Index ETF
RBOT,Horizons Robotics and Automation Index ETF
RBOT.U,Horizons Robotics and Automation Index ETF
HSH,Horizons S&P 500 CAD Hedged Index ETF
HXS,Horizons S&P 500¨ÊIndex ETF
HXS.U,Horizons S&P 500¨ÊIndex ETF
HGGB,Horizons S&P Green Bond Index ETF
HXT,Horizons S&P/TSX 60ª Index ETF
HXT.U,Horizons S&P/TSX 60ª Index ETF
HXCN,Horizons S&P/TSX Capped Composite Index ETF
HXE,Horizons S&P/TSX Capped Energy Index ETF
HXF,Horizons S&P/TSX Capped Financials Index ETF
HUZ,Horizons Silver ETF
HTB,Horizons US 7-10 Year Treasury Bond ETF
HTB.U,Horizons US 7-10 Year Treasury Bond ETF
DLR,Horizons US Dollar Currency ETF
DLR.U,Horizons US Dollar Currency ETF
HULC,Horizons US Large Cap Index ETF
HULC.U,Horizons US Large Cap Index ETF
HMUS,Horizons US Marijuana Index ETF
HMUS.U,Horizons US Marijuana Index ETF
HSUV.U,Horizons USD Cash Maximizer ETF
