Ticker,Name
EWJ,iShares MSCI Japan ETF
EWT,iShares MSCI Taiwan ETF
MCHI,iShares MSCI China ETF
EWY,iShares MSCI South Korea ETF
EWZ,iShares MSCI Brazil ETF
INDA,iShares MSCI India ETF
ACWV,iShares MSCI Global Min Vol Factor ETF
IDV,iShares International Select Dividend ETF
EWC,iShares MSCI Canada ETF
EWU,iShares MSCI United Kingdom ETF
IXJ,iShares Global Healthcare ETF
IXG,iShares Global Financials ETF
IGF,iShares Global Infrastructure ETF
EWG,iShares MSCI Germany ETF
EWL,iShares MSCI Switzerland ETF
EWA,iShares MSCI Australia ETF
IXC,iShares Global Energy ETF
EWW,iShares MSCI Mexico ETF
EWH,iShares MSCI Hong Kong ETF
MXI,iShares Global Materials ETF
KSA,iShares MSCI Saudi Arabia ETF
EWQ,iShares MSCI France ETF
EWS,iShares MSCI Singapore ETF
EWI,iShares MSCI Italy ETF
ERUS,iShares MSCI Russia ETF
IHAK,iShares Cybersecurity and Tech ETF
EWP,iShares MSCI Spain ETF
KXI,iShares Global Consumer Staples ETF
EWD,iShares MSCI Sweden ETF
ECH,iShares MSCI Chile ETF
FM,iShares MSCI Frontier and Select EM ETF
RXI,iShares Global Consumer Discretionary ETF
EXI,iShares Global Industrials ETF
THD,iShares MSCI Thailand ETF
EIDO,iShares MSCI Indonesia ETF
EZA,iShares MSCI South Africa ETF
IXP,iShares Global Comm Services ETF
EWN,iShares MSCI Netherlands ETF
EPOL,iShares MSCI Poland ETF
TUR,iShares MSCI Turkey ETF
EWM,iShares MSCI Malaysia ETF
ENZL,iShares MSCI New Zealand ETF
EDEN,iShares MSCI Denmark ETF
EIS,iShares MSCI Israel ETF
EPU,iShares MSCI Peru ETF
JXI,iShares Global Utilities ETF
EPHE,iShares MSCI Philippines ETF
QAT,iShares MSCI Qatar ETF
EWO,iShares MSCI Austria ETF
EIRL,iShares MSCI Ireland ETF
ENOR,iShares MSCI Norway ETF
EWK,iShares MSCI Belgium ETF
ICOL,iShares MSCI Colombia ETF
EFNL,iShares MSCI Finland ETF
UAE,iShares MSCI UAE ETF
KWT,iShares MSCI Kuwait ETF
