Date,USDCNYspot,USDBRLspot,USDZARspot,USDRUBspot,EURUSDspot,USDJPYspot,USDMXNspot,USDCADspot,USDCNYvol,USDBRLvol,USDZARvol,USDRUBvol,EURUSDvol,USDJPYvol,USDMXNvol,USDCADvol
2011-01-03,6.607,1.6496,6.6275,30.5574,1.3361,81.74,12.2488,0.9938,4.025,12.35,14.0375,9.83,14.285,11.645,11.68,10.46
2011-01-04,6.6076,1.6618,6.6688,30.5774,1.3308,82.04,12.2276,0.9983,3.755,12.56,14.0725,9.9,13.7125,11.28,11.85,10.46
2011-01-05,6.6198,1.6746,6.6959,30.504,1.3149,83.25,12.1875,0.9956,3.595,12.565,14.1975,9.89,13.7725,11.215,12.153,10.445
2011-01-06,6.626,1.6861,6.7919,30.5662,1.3003,83.33,12.2213,0.9966,3.63,12.945,14.3875,9.985,13.9875,11.19,12.09,10.405
2011-01-07,6.6311,1.6875,6.8045,30.5972,1.2907,83.15,12.2323,0.9935,3.675,12.81,14.3475,9.9925,13.71,11.105,12.038,10.2
2011-01-10,6.6325,1.689,6.8192,30.6471,1.2951,82.71,12.2142,0.9934,3.685,12.745,14.6275,10.005,13.7,11.12,12.033,10.15
2011-01-11,6.6245,1.6881,6.8805,30.585,1.2974,83.24,12.1348,0.9905,3.635,12.42,14.4975,10.13,13.23,10.96,11.858,9.98
2011-01-12,6.6125,1.6754,6.8308,30.199,1.3131,83,12.0736,0.9857,3.515,11.955,14.2525,10.0725,13.1,10.72,11.638,9.64
2011-01-13,6.5975,1.6677,6.8441,30.0103,1.3364,82.81,12.1241,0.9892,3.475,12.055,14.1425,10.06,13.06,10.765,11.63,9.775
2011-01-14,6.5895,1.6844,6.9351,30.0358,1.3388,82.87,12.0473,0.9909,3.445,12.26,14.0075,10.155,13.1,10.735,11.63,10.005
2011-01-17,6.5945,1.6823,6.8953,29.9656,1.3294,82.68,11.9733,0.987,3.4775,12.183,14.3125,10.1575,13.26,10.7675,11.598,9.97
2011-01-18,6.585,1.6764,6.9067,29.9149,1.3387,82.56,12.0182,0.9913,3.47,12.1,14.2125,10.055,12.9,10.74,11.568,9.995
2011-01-19,6.5823,1.6732,6.9931,29.8222,1.3473,82.02,12.0841,0.9957,3.395,12.12,14.1075,9.9725,12.865,10.825,11.633,10.01
2011-01-20,6.5865,1.6738,7.0815,30.0572,1.3473,83.01,12.0496,0.9973,3.28,12.135,14.4275,9.9975,13.08,10.835,11.65,10.05
2011-01-21,6.583,1.6684,7.0568,29.9003,1.3621,82.57,12.0642,0.9931,3.235,11.98,14.5775,10.0375,12.555,10.7725,11.605,9.885
2011-01-24,6.5827,1.6713,7.0021,29.8176,1.3638,82.53,12.0498,0.9935,3.21,11.935,14.5225,10.0375,12.49,10.62,11.54,9.885
2011-01-25,6.583,1.672,7.0593,29.7319,1.3681,82.25,12.0945,0.9968,3.115,11.87,14.4425,10.0375,12.23,10.43,11.395,9.825
2011-01-26,6.5828,1.6703,7.0702,29.7289,1.3713,82.17,11.9968,0.994,3.055,11.615,14.2725,9.7875,11.815,10.38,11.07,9.46
2011-01-27,6.5824,1.6785,7.0622,29.5879,1.3734,82.92,12.0371,0.9934,3.0025,11.42,14.1225,9.5,11.95,10.105,10.97,9.485
2011-01-28,6.585,1.6846,7.18,29.793,1.3611,82.12,12.2062,1.0013,2.955,11.44,14.4375,9.5,12.32,10.25,11.23,9.585
2011-01-31,6.6025,1.6736,7.1855,29.7888,1.3694,82.04,12.1219,1.001,2.975,11.45,14.4725,9.74,12.54,10.3675,11.125,9.81
2011-02-01,6.594,1.6624,7.1212,29.54,1.3829,81.35,12.0001,0.9906,2.9575,11.165,14.0975,9.5775,12.335,10.55,11.025,9.57
2011-02-02,6.5838,1.6674,7.166,29.4344,1.3811,81.55,12.0122,0.9879,2.93,10.945,14.0475,9.545,12.08,10.6375,10.918,9.565
2011-02-03,6.585,1.6696,7.2647,29.4468,1.3634,81.63,12.0029,0.9911,2.9425,11.005,14.0575,9.6375,12.255,10.655,11.105,9.54
2011-02-04,6.5838,1.6734,7.2531,29.4215,1.3581,82.18,11.9863,0.9873,2.9425,10.81,14.3475,9.7125,11.89,10.5,10.755,9.48
2011-02-07,6.5872,1.6772,7.2342,29.3199,1.3583,82.33,12.0158,0.9908,2.965,10.94,14.3275,9.5975,11.8225,10.17,10.653,9.315
2011-02-08,6.586,1.6655,7.1943,29.2401,1.3625,82.36,12.04,0.9952,3.035,10.94,14.2425,9.5,11.555,10.17,10.515,9.24
2011-02-09,6.59,1.6602,7.2137,29.2952,1.3733,82.36,12.0807,0.9938,3.225,10.735,14.1925,9.495,11.435,10.1225,10.59,9.19
2011-02-10,6.587,1.67,7.275,29.3581,1.3603,83.23,12.0753,0.9953,3.0725,10.838,14.1275,9.5025,11.6,10.255,10.73,9.18
2011-02-11,6.5936,1.666,7.2788,29.2922,1.3554,83.43,12.0305,0.9874,2.995,10.708,14.2725,9.41,11.605,10.235,10.685,8.975
2011-02-14,6.5955,1.6675,7.2881,29.3134,1.3489,83.32,12.0508,0.9891,2.84,10.698,14.2425,9.4225,11.67,10.1375,10.678,8.92
2011-02-15,6.5895,1.6692,7.3365,29.3032,1.3487,83.77,12.1516,0.9898,2.82,10.668,14.2825,9.3,11.62,10.125,10.663,8.875
2011-02-16,6.589,1.6714,7.2571,29.2679,1.3569,83.68,12.0611,0.9849,2.795,10.578,14.1575,9,11.255,9.8025,10.6,8.715
2011-02-17,6.5825,1.6626,7.1642,29.2813,1.3609,83.31,12.0199,0.9843,2.855,10.623,13.8625,8.6475,11.26,9.7,10.488,8.5125
2011-02-18,6.5774,1.6635,7.142,29.1878,1.3693,83.18,12.0331,0.9868,2.83,10.473,13.8775,8.3875,11.025,9.695,10.263,8.4
2011-02-21,6.5715,1.6668,7.1478,29.168,1.3678,83.14,12.0748,0.983,2.88,10.528,13.9325,8.415,11.1,9.63,10.253,8.4325
2011-02-22,6.5795,1.6708,7.1639,29.2541,1.365,82.77,12.1316,0.9907,2.73,10.71,14.4025,8.395,11.365,9.91,10.42,8.56
2011-02-23,6.5775,1.6754,7.1117,29.1782,1.3749,82.51,12.1855,0.9895,2.67,10.85,14.3925,8.3975,11.245,9.92,10.68,8.86
2011-02-24,6.579,1.664,7.0475,29.0013,1.38,81.89,12.1473,0.9826,2.6025,10.815,14.4725,8.9,11.665,10.715,10.78,8.76
2011-02-25,6.575,1.6751,7.0245,28.9377,1.3754,81.68,12.1265,0.9774,2.6675,10.673,14.1975,8.945,11.235,10.31,10.643,8.735
2011-02-28,6.577,1.6632,6.9687,28.857,1.3806,81.78,12.1016,0.9716,2.6675,10.655,14.2125,8.7175,11.085,10.105,10.453,8.68
2011-03-01,6.5705,1.6633,6.9992,28.6605,1.3777,81.86,12.1208,0.9748,2.7575,10.423,14.0425,8.4975,11.01,9.845,10.365,8.705
2011-03-02,6.5726,1.6595,6.8775,28.3735,1.3866,81.87,12.0898,0.9731,2.635,10.31,14.065,8.6425,11.285,9.9875,10.285,8.71
2011-03-03,6.569,1.651,6.9161,28.2185,1.3969,82.45,12.0055,0.972,2.5675,10.03,13.99,8.5925,11.215,10.04,10.22,8.63
2011-03-04,6.5694,1.6435,6.8765,28.1721,1.3987,82.32,12.0075,0.9734,2.5725,10.055,13.97,8.6325,10.73,9.885,10.205,8.365
2011-03-07,6.5635,1.6435,6.8756,28.147,1.3968,82.24,12.0482,0.9733,2.5475,10.02,13.8625,8.6625,10.61,9.6275,9.795,8.23
2011-03-08,6.567,1.6435,6.8786,28.277,1.3905,82.67,12.0054,0.9714,2.4375,10.04,13.9425,8.7025,10.825,9.5475,9.817,8.23
2011-03-09,6.5725,1.6547,6.8619,28.3562,1.3909,82.74,11.9291,0.9685,2.39,10.13,13.7675,8.7,10.83,9.375,9.733,8.045
2011-03-10,6.5725,1.6617,6.924,28.5775,1.3798,82.98,11.9818,0.976,2.44,10.48,13.7325,8.7,11.095,9.35,9.653,8.345
2011-03-11,6.5745,1.6647,6.8798,28.6771,1.3903,81.84,11.9075,0.9732,2.425,10.51,13.8625,8.88,11.24,10.2075,9.718,8.275
2011-03-14,6.5699,1.66,6.8181,28.5398,1.3992,81.63,11.8951,0.9738,2.43,10.645,13.63,9.0075,11.1425,11.1625,9.72,8.23
2011-03-15,6.571,1.666,6.965,28.7772,1.3998,80.72,11.9944,0.9859,2.4025,10.92,14.1725,9.695,11.425,14.1,10.538,10.185
2011-03-16,6.572,1.6756,7.0909,28.6624,1.39,79.59,12.1503,0.9914,2.3675,11.168,14.3775,9.5,11.795,13.93,10.875,10.31
2011-03-17,6.5705,1.6784,7.1099,28.6588,1.4021,78.89,12.093,0.9848,2.3575,11.995,15.0125,9.68,11.67,15.6125,11.395,10.005
2011-03-18,6.571,1.6652,6.9972,28.4838,1.4182,80.58,12.0527,0.9843,2.3625,11.365,14.7125,9.3825,11.025,13.445,11.318,9.045
2011-03-21,6.5625,1.666,6.954,28.308,1.4226,81.03,11.987,0.9778,2.35,10.905,14.64,9.25,10.845,12.145,11.098,8.7575
2011-03-22,6.5572,1.6598,6.8974,28.2443,1.4196,80.97,11.9915,0.9807,2.35,10.5,14.36,9.145,10.78,11.46,10.748,8.7125
2011-03-23,6.5588,1.6608,6.9417,28.331,1.4088,80.92,12.0221,0.9816,2.2925,10.423,14.37,9.0475,11.12,11.225,10.525,8.775
2011-03-24,6.5619,1.659,6.869,28.2742,1.4177,80.97,11.9472,0.9752,2.245,10.363,14.33,9.0825,11.1425,11.16,10.245,8.5975
2011-03-25,6.5585,1.6599,6.8491,28.2836,1.4088,81.34,11.9922,0.9805,2.23,10.305,14.14,8.7675,11.105,10.945,10.2,8.595
2011-03-28,6.5613,1.6629,6.8671,28.3342,1.4087,81.69,11.9747,0.9779,2.2275,10.405,14.22,8.6575,11.225,11.35,10.185,8.575
2011-03-29,6.5628,1.6463,6.855,28.4118,1.4113,82.48,11.9552,0.9744,2.2175,10.24,14.11,8.34,11.0725,11.98,10.1,8.585
2011-03-30,6.5573,1.6291,6.8228,28.5341,1.4127,82.89,11.9179,0.971,2.2175,10.42,13.98,8.3825,10.99,11.8675,9.965,8.605
2011-03-31,6.5524,1.6325,6.7743,28.426,1.4158,83.13,11.9048,0.9706,2.295,10.39,13.815,8.395,10.845,11.525,9.935,8.565
