Date,USDCNY_delta,USDBRL_delta,USDZAR_delta,USDRUB_delta,EURUSD_delta,USDJPY_delta,USDMXN_delta,USDCAD_delta,Total_delta
2016-04-01,0.0,0.0,0,0.0,745419.516936527,0.0,0.0,0.0,745419.516936527
2016-04-04,0.0,0.0,0,0.0,750487.0749524925,0.0,0.0,0.0,750487.0749524925
2016-04-05,0.0,0.0,0,0.0,734732.4878959326,0.0,0.0,0.0,734732.4878959326
2016-04-06,0.0,0.0,0,0.0,765269.1837101987,0.0,0.0,0.0,765269.1837101987
2016-04-07,0.0,0.0,0,0.0,718663.6543744261,0.0,0.0,0.0,718663.6543744261
2016-04-08,0.0,0.0,0,0.0,769536.9528641913,0.0,0.0,0.0,769536.9528641913
2016-04-11,0.0,0.0,0,0.0,797630.4783426451,0.0,0.0,0.0,797630.4783426451
2016-04-12,0.0,0.0,0,0.0,745424.618869647,0.0,0.0,0.0,745424.618869647
2016-04-13,0.0,0.0,0,0.0,455638.4424069025,0.0,0.0,0.0,455638.4424069025
2016-04-14,0.0,0.0,0,0.0,460485.403567871,0.0,0.0,0.0,460485.403567871
2016-04-15,0.0,0.0,0,0.0,482311.5798796861,0.0,0.0,0.0,482311.5798796861
2016-04-18,0.0,0.0,0,0.0,530645.8814331436,0.0,0.0,0.0,530645.8814331436
2016-04-19,0.0,0.0,0,0.0,662625.6482362566,0.0,0.0,0.0,662625.6482362566
2016-04-20,0.0,0.0,0,0.0,455758.53719280753,0.0,0.0,0.0,455758.53719280753
2016-04-21,0.0,0.0,0,0.0,421616.4664270007,0.0,0.0,0.0,421616.4664270007
2016-04-22,0.0,0.0,0,0.0,210169.4714615982,0.0,0.0,0.0,210169.4714615982
2016-04-25,0.0,0.0,0,0.0,239126.7155131664,0.0,0.0,0.0,239126.7155131664
2016-04-26,0.0,0.0,0,0.0,308300.4380965529,0.0,0.0,0.0,308300.4380965529
2016-04-27,0.0,0.0,0,0.0,352292.07380673866,0.0,0.0,0.0,352292.07380673866
2016-04-28,0.0,0.0,0,0.0,506790.6081844653,0.0,0.0,0.0,506790.6081844653
2016-04-29,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,0.0,0.0,0,0.0,712413.4700663155,0.0,0.0,0.0,712413.4700663155
2016-05-03,0.0,0.0,0,0.0,644812.1330394681,0.0,0.0,0.0,644812.1330394681
2016-05-04,0.0,0.0,0,0.0,628094.5075623383,0.0,0.0,0.0,628094.5075623383
2016-05-05,0.0,0.0,0,0.0,483493.57108018926,0.0,0.0,0.0,483493.57108018926
2016-05-06,0.0,0.0,0,0.0,460930.41433289985,0.0,0.0,0.0,460930.41433289985
2016-05-09,0.0,0.0,0,0.0,398562.9184551947,0.0,0.0,0.0,398562.9184551947
2016-05-10,0.0,0.0,0,0.0,361405.2041375124,0.0,0.0,0.0,361405.2041375124
2016-05-11,0.0,0.0,0,0.0,463958.41817863216,0.0,0.0,0.0,463958.41817863216
2016-05-12,0.0,0.0,0,0.0,341728.2311071981,0.0,0.0,0.0,341728.2311071981
2016-05-13,0.0,0.0,0,0.0,218939.22288036172,0.0,0.0,0.0,218939.22288036172
2016-05-16,0.0,0.0,0,0.0,207288.46770210925,0.0,0.0,0.0,207288.46770210925
2016-05-17,0.0,0.0,0,0.0,174176.2716908311,0.0,0.0,0.0,174176.2716908311
2016-05-18,0.0,0.0,0,0.0,70352.30448628998,0.0,0.0,0.0,70352.30448628998
2016-05-19,0.0,0.0,0,0.0,51301.424456420034,0.0,0.0,0.0,51301.424456420034
2016-05-20,0.0,0.0,0,0.0,42801.852078565564,0.0,0.0,0.0,42801.852078565564
2016-05-23,0.0,0.0,0,0.0,13327.629063351405,0.0,0.0,0.0,13327.629063351405
2016-05-24,0.0,0.0,0,0.0,1414.3613304198625,0.0,0.0,0.0,1414.3613304198625
2016-05-25,0.0,0.0,0,0.0,582.2906147185364,0.0,0.0,0.0,582.2906147185364
2016-05-26,0.0,0.0,0,0.0,5971.440389548387,0.0,0.0,0.0,5971.440389548387
2016-05-27,0.0,0.0,0,0.0,661.7341900731152,0.0,0.0,0.0,661.7341900731152
2016-05-30,0.0,0.0,0,0.0,1.9263740820209063,0.0,0.0,0.0,1.9263740820209063
2016-05-31,0.0,0.0,0,0.0,0.00034539656859954357,0.0,0.0,0.0,0.00034539656859954357
2016-06-01,1333635.647343035,0.0,0,0.0,0.0,0.0,0.0,0.0,1333635.647343035
2016-06-02,1373259.1958047058,0.0,0,0.0,0.0,0.0,0.0,0.0,1373259.1958047058
2016-06-03,1022944.7267457556,0.0,0,0.0,0.0,0.0,0.0,0.0,1022944.7267457556
2016-06-06,1104300.478474434,0.0,0,0.0,0.0,0.0,0.0,0.0,1104300.478474434
