Date,USDCNY_theta,USDBRL_theta,USDZAR_theta,USDRUB_theta,EURUSD_theta,USDJPY_theta,USDMXN_theta,USDCAD_theta,Total_theta
2016-04-01,0,0,0,0,-1696.481244,0,0,0,-1696.481244
2016-04-04,0,0,0,0,-1606.831306,0,0,0,-1606.831306
2016-04-05,0,0,0,0,-1576.140696,0,0,0,-1576.140696
2016-04-06,0,0,0,0,-1535.527103,0,0,0,-1535.527103
2016-04-07,0,0,0,0,-1511.68304,0,0,0,-1511.68304
2016-04-08,0,0,0,0,-1468.151813,0,0,0,-1468.151813
2016-04-11,0,0,0,0,-1352.46408,0,0,0,-1352.46408
2016-04-12,0,0,0,0,-1329.720048,0,0,0,-1329.720048
2016-04-13,0,0,0,0,-1165.820839,0,0,0,-1165.820839
2016-04-14,0,0,0,0,-1133.009226,0,0,0,-1133.009226
2016-04-15,0,0,0,0,-1116.407272,0,0,0,-1116.407272
2016-04-18,0,0,0,0,-1026.304051,0,0,0,-1026.304051
2016-04-19,0,0,0,0,-1025.621497,0,0,0,-1025.621497
2016-04-20,0,0,0,0,-879.6317787,0,0,0,-879.6317787
2016-04-21,0,0,0,0,-802.1945335,0,0,0,-802.1945335
2016-04-22,0,0,0,0,-501.8811965,0,0,0,-501.8811965
2016-04-25,0,0,0,0,-414.9746767,0,0,0,-414.9746767
2016-04-26,0,0,0,0,-420.362328,0,0,0,-420.362328
2016-04-27,0,0,0,0,-370.3526014,0,0,0,-370.3526014
2016-04-28,0,0,0,0,-308.0821784,0,0,0,-308.0821784
2016-04-29,0,0,0,0,0,0,0,0,0
2016-05-02,0,0,0,0,-1727.209173,0,0,0,-1727.209173
2016-05-03,0,0,0,0,-1670.949106,0,0,0,-1670.949106
2016-05-04,0,0,0,0,-1640.394634,0,0,0,-1640.394634
2016-05-05,0,0,0,0,-1512.785277,0,0,0,-1512.785277
2016-05-06,0,0,0,0,-1461.216077,0,0,0,-1461.216077
2016-05-09,0,0,0,0,-1294.457196,0,0,0,-1294.457196
2016-05-10,0,0,0,0,-1207.832157,0,0,0,-1207.832157
2016-05-11,0,0,0,0,-1319.694802,0,0,0,-1319.694802
2016-05-12,0,0,0,0,-1121.133553,0,0,0,-1121.133553
2016-05-13,0,0,0,0,-837.6543661,0,0,0,-837.6543661
2016-05-16,0,0,0,0,-743.685851,0,0,0,-743.685851
2016-05-17,0,0,0,0,-640.3969838,0,0,0,-640.3969838
2016-05-18,0,0,0,0,-311.9257999,0,0,0,-311.9257999
2016-05-19,0,0,0,0,-233.1048072,0,0,0,-233.1048072
2016-05-20,0,0,0,0,-193.5881716,0,0,0,-193.5881716
2016-05-23,0,0,0,0,-62.20747576,0,0,0,-62.20747576
2016-05-24,0,0,0,0,-7.781443387,0,0,0,-7.781443387
2016-05-25,0,0,0,0,-3.217064119,0,0,0,-3.217064119
2016-05-26,0,0,0,0,-24.95639573,0,0,0,-24.95639573
2016-05-27,0,0,0,0,-3.049408325,0,0,0,-3.049408325
2016-05-30,0,0,0,0,-0.007729205,0,0,0,-0.007729205
2016-05-31,0,0,0,0,-1.28E-06,0,0,0,-1.28E-06
2016-06-01,315.2604467,0,0,0,0,0,0,0,315.2604467
2016-06-02,293.4865175,0,0,0,0,0,0,0,293.4865175
