Date,USDCNY_vega,USDBRL_vega,USDZAR_vega,USDRUB_vega,EURUSD_vega,USDJPY_vega,USDMXN_vega,USDCAD_vega,Total_vega,,Date,Total_vega
2016-04-01,0,0,0,0,1489.317219,0,0,0,1489.317219,,2016-04-01,1489.317219
2016-04-04,0,0,0,0,1410.614789,0,0,0,1410.614789,,2016-04-04,1410.614789
2016-04-05,0,0,0,0,1384.522748,0,0,0,1384.522748,,2016-04-05,1384.522748
2016-04-06,0,0,0,0,1347.071763,0,0,0,1347.071763,,2016-04-06,1347.071763
2016-04-07,0,0,0,0,1328.601723,0,0,0,1328.601723,,2016-04-07,1328.601723
2016-04-08,0,0,0,0,1287.965447,0,0,0,1287.965447,,2016-04-08,1287.965447
2016-04-11,0,0,0,0,1185.540042,0,0,0,1185.540042,,2016-04-11,1185.540042
2016-04-12,0,0,0,0,1167.855303,0,0,0,1167.855303,,2016-04-12,1167.855303
2016-04-13,0,0,0,0,1034.079155,0,0,0,1034.079155,,2016-04-13,1034.079155
2016-04-14,0,0,0,0,1005.510496,0,0,0,1005.510496,,2016-04-14,1005.510496
2016-04-15,0,0,0,0,989.3719175,0,0,0,989.3719175,,2016-04-15,989.3719175
2016-04-18,0,0,0,0,907.1900037,0,0,0,907.1900037,,2016-04-18,907.1900037
2016-04-19,0,0,0,0,902.994803,0,0,0,902.994803,,2016-04-19,902.994803
2016-04-20,0,0,0,0,778.6419215,0,0,0,778.6419215,,2016-04-20,778.6419215
2016-04-21,0,0,0,0,710.6613515,0,0,0,710.6613515,,2016-04-21,710.6613515
2016-04-22,0,0,0,0,447.2297242,0,0,0,447.2297242,,2016-04-22,447.2297242
2016-04-25,0,0,0,0,368.2771358,0,0,0,368.2771358,,2016-04-25,368.2771358
2016-04-26,0,0,0,0,372.100848,0,0,0,372.100848,,2016-04-26,372.100848
2016-04-27,0,0,0,0,327.1088159,0,0,0,327.1088159,,2016-04-27,327.1088159
2016-04-28,0,0,0,0,271.3902205,0,0,0,271.3902205,,2016-04-28,271.3902205
2016-04-29,0,0,0,0,0,0,0,0,0,,2016-04-29,0
2016-05-02,0,0,0,0,1497.493648,0,0,0,1497.493648,,2016-05-02,1497.493648
2016-05-03,0,0,0,0,1453.50479,0,0,0,1453.50479,,2016-05-03,1453.50479
2016-05-04,0,0,0,0,1428.044427,0,0,0,1428.044427,,2016-05-04,1428.044427
2016-05-05,0,0,0,0,1326.422865,0,0,0,1326.422865,,2016-05-05,1326.422865
2016-05-06,0,0,0,0,1281.318903,0,0,0,1281.318903,,2016-05-06,1281.318903
2016-05-09,0,0,0,0,1137.18457,0,0,0,1137.18457,,2016-05-09,1137.18457
2016-05-10,0,0,0,0,1062.110585,0,0,0,1062.110585,,2016-05-10,1062.110585
2016-05-11,0,0,0,0,1154.992825,0,0,0,1154.992825,,2016-05-11,1154.992825
2016-05-12,0,0,0,0,985.4386509,0,0,0,985.4386509,,2016-05-12,985.4386509
2016-05-13,0,0,0,0,740.6971139,0,0,0,740.6971139,,2016-05-13,740.6971139
