DATE,USDCNYspot,USDBRLspot,USDZARspot,USDRUBspot,EURUSDspot,USDJPYspot,USDMXNspot,USDCADspot,USDCNY1WFWD,USDBRL1WFWD,USDZAR1WFWD,USDRUB1WFWD,EURUSD1WFWD,USDJPY1WFWD,USDMXN1WFWD,USDCAD1WFWD,USDCNY1MFWD,USDBRL1MFWD,USDZAR1MFWD,USDRUB1MFWD,EURUSD1MFWD,USDJPY1MFWD,USDMXN1MFWD,USDCAD1MFWD,USDCNY3MFWD,USDBRL3MFWD,USDZAR3MFWD,USDRUB3MFWD,EURUSD3MFWD,USDJPY3MFWD,USDMXN3MFWD,USDCAD3MFWD,USDCNY1WATM,USDBRL1WATM,USDZAR1WATM,USDRUB1WATM,EURUSD1WATM,USDJPY1WATM,USDMXN1WATM,USDCAD1WATM,USDCNY1WRR,USDBRL1WRR,USDZAR1WRR,USDRUB1WRR,EURUSD1WRR,USDJPY1WRR,USDMXN1WRR,USDCAD1WRR,USDCNY1WBF,USDBRL1WBF,USDZAR1WBF,USDRUB1WBF,EURUSD1WBF,USDJPY1WBF,USDMXN1WBF,USDCAD1WBF,USDCNY1MATM,USDBRL1MATM,USDZAR1MATM,USDRUB1MATM,EURUSD1MATM,USDJPY1MATM,USDMXN1MATM,USDCAD1MATM,USDCNY1MRR,USDBRL1MRR,USDZAR1MRR,USDRUB1MRR,EURUSD1MRR,USDJPY1MRR,USDMXN1MRR,USDCAD1MRR,USDCNY1MBF,USDBRL1MBF,USDZAR1MBF,USDRUB1MBF,EURUSD1MBF,USDJPY1MBF,USDMXN1MBF,USDCAD1MBF,USDCNY3MATM,USDBRL3MATM,USDZAR3MATM,USDRUB3MATM,EURUSD3MATM,USDJPY3MATM,USDMXN3MATM,USDCAD3MATM,USDCNY3MRR,USDBRL3MRR,USDZAR3MRR,USDRUB3MRR,EURUSD3MRR,USDJPY3MRR,USDMXN3MRR,USDCAD3MRR,USDCNY3MBF,USDBRL3MBF,USDZAR3MBF,USDRUB3MBF,EURUSD3MBF,USDJPY3MBF,USDMXN3MBF,USDCAD3MBF
2011-01-03,6.607,1.6496,6.6275,30.5574,1.3361,81.74,12.2488,0.9938,75,23.97,70,180,0.05,-0.61,37.5,1.2,-205,116,326,830,-0.8,-2.84,282.5,6.08,-590,314.49,873,2305,-3.77,-8.01,890,20.62,3.505,9.54,11.595,8.37,13.185,10.5375,8.69,8.605,-0.085,2.34,1.52,1.54,-0.6375,-0.2025,1.8575,0.66,0.225,0.52,0.525,0.44,0.2625,0.31,0.3975,0.22,3.93,10.405,12.915,8.5,13.745,10.74,9.67,9.4,-0.0775,2.8075,2.075,1.5075,-1.525,-0.37,2.54,0.8125,0.1625,0.5925,0.575,0.4825,0.28,0.3975,0.465,0.25,4.025,12.35,14.0375,9.83,14.285,11.645,11.68,10.46,-0.1575,4.71,3.1,2.0075,-2.0625,-0.7625,3.6675,0.975,0.1825,0.745,0.765,0.7275,0.4425,0.4575,0.6625,0.405
2011-01-04,6.6076,1.6618,6.6688,30.5774,1.3308,82.04,12.2276,0.9983,-145,22.53,72,-822,-0.05,-0.55,38.5,1.25,-165,97.49,322,-1110,-1.4,-2.62,292.5,6.2,-585,313,873,615,-5.98,-7.69,895,20.1,3.505,10.92,13.365,8.37,12.645,10.205,9.075,9.365,-0.09,2.45,1.515,1.625,-0.4475,0.0925,2.0675,0.65,0.185,0.53,0.5,0.44,0.2325,0.3475,0.3975,0.225,3.725,11.123,13.51,8.975,13.18,10.4,10.025,9.86,-0.08,2.94,2.145,1.5125,-1.475,-0.2875,2.58,0.8425,0.135,0.68,0.565,0.4825,0.275,0.3825,0.465,0.25,3.755,12.56,14.0725,9.9,13.7125,11.28,11.85,10.46,-0.16,4.755,3.0875,2.0075,-2.0225,-0.6875,3.65,0.98,0.17,0.77,0.7575,0.7275,0.44,0.4375,0.665,0.41
2011-01-05,6.6198,1.6746,6.6959,30.504,1.3149,83.25,12.1875,0.9956,-155,20.77,72,-355,-0.15,-0.48,40.5,1.25,-170,110,314,-1135,-1.75,-2.43,278.5,6.08,-525,297.5,878,1607,-6.94,-7.55,900.75,19.57,3.42,10.73,13.415,8.37,12.945,10.8425,9.065,9.35,-0.095,2.39,1.56,1.65,-0.57,0.29,1.8275,0.605,0.19,0.51,0.51,0.455,0.265,0.3525,0.3875,0.235,3.59,11.103,13.705,9.075,13.1825,10.4625,10.14,9.785,-0.085,2.69,2.2875,1.2875,-1.515,-0.2,2.41,0.8075,0.135,0.5775,0.5575,0.445,0.3,0.3525,0.4725,0.245,3.595,12.565,14.1975,9.89,13.7725,11.215,12.153,10.445,-0.17,4.625,3.0925,1.9425,-1.965,-0.5775,3.4375,0.93,0.165,0.74,0.7575,0.6875,0.4275,0.4175,0.6875,0.39
2011-01-06,6.626,1.6861,6.7919,30.5662,1.3003,83.33,12.2213,0.9966,-115,28.13,76,-47,-0.05,-0.52,50,1.39,-199,96.5,312,-1970,-0.75,-2.6,271,6.1,-579,294.75,903,2260,-5.77,-7.58,880,19.65,3.455,11.23,13.605,8.375,13.3875,11.3875,9.245,9.44,0.07,2.225,1.54,1.655,-0.5475,0.68,1.3825,0.67,0.18,0.495,0.5,0.455,0.2875,0.35,0.3975,0.235,3.59,11.558,13.86,9.1325,13.56,10.6275,9.973,9.77,-0.0625,2.4125,2.3325,1.3025,-1.57,-0.1375,2.3675,0.815,0.1275,0.4525,0.5575,0.445,0.295,0.3625,0.4775,0.27,3.63,12.945,14.3875,9.985,13.9875,11.19,12.09,10.405,-0.1575,4.595,3.21,1.9625,-2.0575,-0.63,3.3275,0.965,0.1725,0.73,0.7525,0.6875,0.415,0.42,0.67,0.41
2011-01-07,6.6311,1.6875,6.8045,30.5972,1.2907,83.15,12.2323,0.9935,-65,26.65,72,288,-0.05,-0.57,53.25,1.51,-205,124,313,1493,-1.18,-2.72,297.5,6.1,-545,306.75,892,3268,-6,-7.95,900,20.27,3.415,10.69,13.585,8.36,12.6525,10.74,9.178,8.48,0.075,2.235,1.615,1.65,-0.635,0.63,1.47,0.76,0.175,0.5225,0.51,0.45,0.2875,0.36,0.395,0.23,3.41,11.343,13.795,9.15,13.09,10.435,9.875,9.325,-0.0525,2.1975,2.465,1.3125,-1.6075,-0.155,2.375,0.825,0.1375,0.3725,0.56,0.4475,0.2775,0.3775,0.465,0.2625,3.675,12.81,14.3475,9.9925,13.71,11.105,12.038,10.2,-0.1525,4.635,3.235,1.965,-2.0875,-0.61,3.345,0.92,0.1725,0.745,0.755,0.6925,0.4425,0.425,0.66,0.4
2011-01-10,6.6325,1.689,6.8192,30.6471,1.2951,82.71,12.2142,0.9934,-65,26.09,70,728,-0.2,-0.56,67.5,1.37,-275,121.75,331,1680,-1.3,-2.58,342.5,6.29,-635,324.75,894,3405,-5.39,-7.78,950,20,3.43,10.685,13.84,8.41,12.035,9.84,9.285,8.16,0.07,2.24,1.745,1.65,-0.4825,0.6475,1.4925,0.78,0.18,0.52,0.495,0.45,0.2225,0.3075,0.3975,0.235,3.5,11.375,14.165,9.1625,13.07,10.415,9.94,9.305,-0.055,2.3475,2.585,1.3375,-1.505,-0.1625,2.355,0.81,0.135,0.4075,0.57,0.4525,0.28,0.3725,0.465,0.26,3.685,12.745,14.6275,10.005,13.7,11.12,12.033,10.15,-0.155,4.63,3.23,1.9675,-2.0275,-0.6,3.34,0.945,0.17,0.745,0.7575,0.6975,0.4375,0.43,0.6575,0.405
2011-01-11,6.6245,1.6881,6.8805,30.585,1.2974,83.24,12.1348,0.9905,-185,26.03,71,107,-0.28,-0.42,66.5,1.38,-305,117.5,324,707,-1.75,-2.24,315,6.45,-657,332.5,904,2352,-6.43,-7.49,940,20.1,3.405,10.005,13.34,8.39,11.56,9.43,8.71,8.015,0.04,2.295,1.85,1.67,-0.5175,0.53,1.3175,0.77,0.18,0.51,0.505,0.46,0.2725,0.3,0.3825,0.195,3.505,10.995,13.965,9.43,12.73,10.345,9.74,8.92,-0.0625,2.8125,2.56,1.3425,-1.23,-0.165,2.33,0.7775,0.1425,0.5875,0.605,0.45,0.27,0.3625,0.465,0.26,3.635,12.42,14.4975,10.13,13.23,10.96,11.858,9.98,-0.1575,4.66,3.25,1.9825,-1.7725,-0.59,3.3325,0.945,0.1775,0.755,0.7825,0.6925,0.4275,0.395,0.655,0.395
2011-01-12,6.6125,1.6754,6.8308,30.199,1.3131,83,12.0736,0.9857,-185,24.39,71,106,-0.44,-0.41,53.5,1.38,-305,109.75,315,-219,-2.15,-2.15,277.5,6.29,-680,324.75,914,1693,-7.93,-7.44,855,19.93,3.535,9,13.025,8.49,11.345,9.1525,8.425,7.825,0.065,2.17,1.7,1.67,-0.1175,0.3625,1.2525,0.605,0.19,0.485,0.5,0.455,0.2275,0.305,0.3825,0.225,3.4,10.363,13.585,9.355,12.56,10.1525,9.57,8.655,-0.06,2.7175,2.46,1.34,-0.935,-0.3525,2.315,0.7275,0.13,0.5725,0.575,0.45,0.23,0.365,0.465,0.255,3.515,11.955,14.2525,10.0725,13.1,10.72,11.638,9.64,-0.16,4.595,3.22,1.975,-1.4775,-0.605,3.2325,0.895,0.17,0.745,0.765,0.695,0.3675,0.385,0.6325,0.4
2011-01-13,6.5975,1.6677,6.8441,30.0103,1.3364,82.81,12.1241,0.9892,-85,28.23,69,150,-0.78,-0.41,65,1.4,-215,154.25,313,685,-2.75,-2,295,6.2,-550,391.75,901,2067,-9.01,-7.13,865,20.36,3.5,10.05,12.845,8.49,12.565,9.3425,9.6,7.66,-0.08,2.405,1.695,1.67,0.0825,0.34,1.2875,0.605,0.18,0.505,0.505,0.45,0.1825,0.3025,0.4075,0.23,3.375,10.733,13.475,9.485,12.62,9.93,9.735,8.765,-0.165,2.825,2.405,1.3475,-0.645,-0.2,2.28,0.8125,0.125,0.595,0.58,0.4525,0.22,0.3525,0.46,0.26,3.475,12.055,14.1425,10.06,13.06,10.765,11.63,9.775,-0.205,4.65,3.2275,1.9775,-1.2475,-0.6025,3.26,0.98,0.13,0.76,0.77,0.6975,0.3475,0.3675,0.645,0.395
2011-01-14,6.5895,1.6844,6.9351,30.0358,1.3388,82.87,12.0473,0.9909,35,28.21,69,-147,-0.78,-0.4,67.25,1.4,-155,132.75,314,359,-2.73,-2.12,311,6.15,-510,351.25,909,1121,-9.22,-7.37,828.5,20.32,3.395,10.54,12.99,8.07,12.49,9.1375,9.49,7.87,-0.045,2.75,1.7,1.67,-0.2925,0.3925,1.4425,0.6,0.175,0.51,0.515,0.45,0.1925,0.3025,0.4275,0.23,3.335,11.223,13.445,9.515,12.715,9.8,9.835,8.875,-0.15,3.0325,2.52,1.355,-0.715,-0.2625,2.2675,0.8025,0.13,0.6175,0.565,0.455,0.215,0.3525,0.455,0.25,3.445,12.26,14.0075,10.155,13.1,10.735,11.63,10.005,-0.195,4.765,3.3075,1.9775,-1.2675,-0.6275,3.275,0.92,0.135,0.785,0.765,0.7,0.3425,0.3775,0.665,0.395
