,USDCNY_pnl,USDBRL_pnl,USDZAR_pnl,USDRUB_pnl,EURUSD_pnl,USDJPY_pnl,USDMXN_pnl,USDCAD_pnl,Total_pnl
2016-04-29,0.0,0.0,0.0,0.0,-3596.0256013622907,0.0,0.0,0.0,-3596.0256013622907
2016-06-01,0.0,0.0,0.0,0.0,-10670.173053075354,0.0,0.0,0.0,-10670.173053075354
2016-07-01,7828.114346223772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7828.114346223772
2016-08-01,-10413.682286175803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10413.682286175803
2016-09-01,-4964.34512522191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4964.34512522191
2016-09-30,-10245.624064195314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10245.624064195314
2016-11-01,10319.00617610536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10319.00617610536
2016-12-01,19199.29993646378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19199.29993646378
2016-12-30,1604.073918929531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.073918929531
2017-02-01,-10122.19350366757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10122.19350366757
2017-03-01,0.0,0.0,0.0,0.0,-10627.403328563709,0.0,0.0,0.0,-10627.403328563709
2017-03-31,0.0,0.0,0.0,0.0,0.0,-10616.599367569484,0.0,0.0,-10616.599367569484
2017-05-01,0.0,0.0,0.0,0.0,10570.463093225102,0.0,0.0,0.0,10570.463093225102
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10658.403454761996,-10658.403454761996
2017-06-30,0.0,0.0,0.0,0.0,11462.998542423302,0.0,0.0,0.0,11462.998542423302
2017-08-01,0.0,0.0,0.0,0.0,33761.118998956554,0.0,0.0,0.0,33761.118998956554
2017-09-01,0.0,0.0,0.0,0.0,-4937.59789306679,0.0,0.0,0.0,-4937.59789306679
2017-09-29,0.0,0.0,0.0,0.0,-10889.608980784853,0.0,0.0,0.0,-10889.608980784853
2017-11-01,0.0,0.0,0.0,0.0,-11240.833963027664,0.0,0.0,0.0,-11240.833963027664
2017-12-01,0.0,0.0,0.0,0.0,0.0,-10911.147069473962,0.0,0.0,-10911.147069473962
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28760.398111148872,0.0,28760.398111148872
2018-02-01,0.0,0.0,0.0,0.0,39163.11830629133,0.0,0.0,0.0,39163.11830629133
2018-03-01,0.0,0.0,0.0,0.0,-11804.042333514197,0.0,0.0,0.0,-11804.042333514197
2018-03-30,0.0,0.0,0.0,0.0,-6408.896252992937,0.0,0.0,0.0,-6408.896252992937
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11444.612337208542,-11444.612337208542
2018-06-01,0.0,35781.89301565216,0.0,0.0,0.0,0.0,0.0,0.0,35781.89301565216
2018-06-29,0.0,6334.9534663350305,0.0,0.0,0.0,0.0,0.0,0.0,6334.9534663350305
2018-08-01,15678.505323721685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15678.505323721685
2018-08-31,-9219.916340628122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9219.916340628122
2018-10-01,-3031.3288528576645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3031.3288528576645
2018-11-01,-359.90565200936203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-359.90565200936203
2018-11-30,0.0,0.0,0.0,0.0,0.0,348.70626524899404,0.0,0.0,348.70626524899404
2019-01-01,-12277.665373067985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12277.665373067985
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11774.954092332826,-11774.954092332826
2019-03-01,0.0,0.0,0.0,0.0,-12208.073395038577,0.0,0.0,0.0,-12208.073395038577
2019-04-01,0.0,0.0,0.0,0.0,-12291.76907467305,0.0,0.0,0.0,-12291.76907467305
2019-05-01,0.0,0.0,0.0,0.0,0.0,-8882.706126237059,0.0,0.0,-8882.706126237059
2019-05-31,0.0,0.0,0.0,0.0,0.0,-12217.621682959632,0.0,0.0,-12217.621682959632
